#   Radius       Mass      Log(P)   Log(Rho)   Log(T)     L(r)      Pgas/P    Log(jrot)     L/m      v/csound    omega       v_rot       csound   
1.8111e+00 3.8299e+01 1.3753e+01 -2.3901e+00 7.0830e+00 2.7423e+13 4.2711e-02 1.7338e+01 7.1602e+11 0.0000e+00 2.0551e-05 2.5904e+01 1.3646e+08
1.7736e+00 3.8298e+01 1.3777e+01 -2.3739e+00 7.0891e+00 2.8406e+13 4.2499e-02 1.7339e+01 7.4170e+11 0.0000e+00 2.1472e-05 2.6504e+01 1.3777e+08
1.7429e+00 3.8297e+01 1.3803e+01 -2.3598e+00 7.0956e+00 2.8979e+13 4.2002e-02 1.7339e+01 7.5669e+11 0.0000e+00 2.2240e-05 2.6978e+01 1.3961e+08
1.7029e+00 3.8296e+01 1.3832e+01 -2.3413e+00 7.1028e+00 2.9034e+13 4.1700e-02 1.7339e+01 7.5815e+11 0.0000e+00 2.3317e-05 2.7635e+01 1.4127e+08
1.6656e+00 3.8295e+01 1.3861e+01 -2.3236e+00 7.1103e+00 2.8583e+13 4.1271e-02 1.7340e+01 7.4639e+11 0.0000e+00 2.4399e-05 2.8285e+01 1.4322e+08
1.6246e+00 3.8294e+01 1.3890e+01 -2.3036e+00 7.1174e+00 2.7317e+13 4.1151e-02 1.7341e+01 7.1335e+11 0.0000e+00 2.5714e-05 2.9074e+01 1.4460e+08
1.5930e+00 3.8293e+01 1.3916e+01 -2.2876e+00 7.1241e+00 2.6061e+13 4.0786e-02 1.7342e+01 6.8057e+11 0.0000e+00 2.6800e-05 2.9713e+01 1.4636e+08
1.5574e+00 3.8292e+01 1.3941e+01 -2.2696e+00 7.1302e+00 2.3999e+13 4.0752e-02 1.7343e+01 6.2674e+11 0.0000e+00 2.8101e-05 3.0459e+01 1.4745e+08
1.5329e+00 3.8291e+01 1.3961e+01 -2.2564e+00 7.1354e+00 2.2437e+13 4.0544e-02 1.7343e+01 5.8596e+11 0.0000e+00 2.9032e-05 3.0973e+01 1.4870e+08
1.5075e+00 3.8291e+01 1.3988e+01 -2.2419e+00 7.1420e+00 2.0515e+13 4.0051e-02 1.7343e+01 5.3576e+11 0.0000e+00 3.0030e-05 3.1508e+01 1.5076e+08
1.4692e+00 3.8290e+01 1.4019e+01 -2.2197e+00 7.1498e+00 1.6659e+13 3.9946e-02 1.7343e+01 4.3507e+11 0.0000e+00 3.1620e-05 3.2332e+01 1.5231e+08
1.4351e+00 3.8289e+01 1.4048e+01 -2.1991e+00 7.1571e+00 1.2973e+13 3.9833e-02 1.7343e+01 3.3881e+11 0.0000e+00 3.3098e-05 3.3059e+01 1.5380e+08
1.4033e+00 3.8288e+01 1.4076e+01 -2.1789e+00 7.1643e+00 9.3351e+12 3.9707e-02 1.7341e+01 2.4381e+11 0.0000e+00 3.4502e-05 3.3697e+01 1.5532e+08
1.3715e+00 3.8287e+01 1.4104e+01 -2.1581e+00 7.1710e+00 5.5572e+12 3.9753e-02 1.7341e+01 1.4515e+11 0.0000e+00 3.6071e-05 3.4430e+01 1.5643e+08
1.3451e+00 3.8286e+01 1.4127e+01 -2.1400e+00 7.1769e+00 2.5564e+12 3.9779e-02 1.7343e+01 6.6771e+10 0.0000e+00 3.7739e-05 3.5330e+01 1.5744e+08
1.3220e+00 3.8286e+01 1.4154e+01 -2.1147e+00 7.1835e+00 2.4255e+06 4.0280e-02 1.7345e+01 6.3353e+04 0.0000e+00 3.9192e-05 3.6060e+01 1.5765e+08
1.2911e+00 3.8285e+01 1.4181e+01 -2.0753e+00 7.1902e+00 2.3913e+06 4.2016e-02 1.7345e+01 6.2461e+04 0.0000e+00 4.1143e-05 3.6969e+01 1.5557e+08
1.2685e+00 3.8284e+01 1.4200e+01 -2.0469e+00 7.1948e+00 2.3790e+06 4.3406e-02 1.7346e+01 6.2140e+04 0.0000e+00 4.2665e-05 3.7666e+01 1.5386e+08
1.2571e+00 3.8284e+01 1.4214e+01 -2.0360e+00 7.1984e+00 2.4447e+06 4.3416e-02 1.7345e+01 6.3857e+04 0.0000e+00 4.3393e-05 3.7966e+01 1.5448e+08
1.2430e+00 3.8283e+01 1.4237e+01 -2.0224e+00 7.2040e+00 2.5951e+12 4.3096e-02 1.7347e+01 6.7786e+10 0.0000e+00 4.4513e-05 3.8509e+01 1.5606e+08
1.2176e+00 3.8283e+01 1.4262e+01 -2.0024e+00 7.2102e+00 6.9155e+12 4.3238e-02 1.7349e+01 1.8064e+11 0.0000e+00 4.6630e-05 3.9516e+01 1.5691e+08
1.2009e+00 3.8282e+01 1.4277e+01 -1.9902e+00 7.2141e+00 9.8327e+12 4.3289e-02 1.7348e+01 2.5685e+11 0.0000e+00 4.7857e-05 3.9998e+01 1.5752e+08
1.1915e+00 3.8282e+01 1.4292e+01 -1.9809e+00 7.2178e+00 1.1468e+13 4.3103e-02 1.7348e+01 2.9958e+11 0.0000e+00 4.8554e-05 4.0264e+01 1.5854e+08
1.1759e+00 3.8281e+01 1.4313e+01 -1.9672e+00 7.2231e+00 1.3969e+13 4.2891e-02 1.7347e+01 3.6490e+11 0.0000e+00 4.9781e-05 4.0742e+01 1.5989e+08
1.1567e+00 3.8281e+01 1.4336e+01 -1.9512e+00 7.2288e+00 1.6720e+13 4.2789e-02 1.7347e+01 4.3677e+11 0.0000e+00 5.1418e-05 4.1395e+01 1.6113e+08
1.1392e+00 3.8280e+01 1.4364e+01 -1.9356e+00 7.2358e+00 1.8986e+13 4.2295e-02 1.7347e+01 4.9597e+11 0.0000e+00 5.2998e-05 4.2020e+01 1.6336e+08
1.1120e+00 3.8279e+01 1.4392e+01 -1.9127e+00 7.2429e+00 2.1400e+13 4.2433e-02 1.7347e+01 5.5904e+11 0.0000e+00 5.5629e-05 4.3054e+01 1.6443e+08
1.0947e+00 3.8279e+01 1.4416e+01 -1.8972e+00 7.2488e+00 2.2812e+13 4.2218e-02 1.7347e+01 5.9593e+11 0.0000e+00 5.7404e-05 4.3735e+01 1.6597e+08
1.0758e+00 3.8278e+01 1.4445e+01 -1.8800e+00 7.2561e+00 2.3841e+13 4.1788e-02 1.7347e+01 6.2283e+11 0.0000e+00 5.9459e-05 4.4518e+01 1.6821e+08
1.0506e+00 3.8277e+01 1.4478e+01 -1.8569e+00 7.2644e+00 2.4093e+13 4.1619e-02 1.7347e+01 6.2943e+11 0.0000e+00 6.2422e-05 4.5641e+01 1.7016e+08
1.0265e+00 3.8277e+01 1.4502e+01 -1.8359e+00 7.2705e+00 2.3523e+13 4.1860e-02 1.7348e+01 6.1455e+11 0.0000e+00 6.5495e-05 4.6793e+01 1.7087e+08
1.0152e+00 3.8276e+01 1.4526e+01 -1.8235e+00 7.2766e+00 2.3268e+13 4.1313e-02 1.7348e+01 6.0791e+11 0.0000e+00 6.6995e-05 4.7337e+01 1.7320e+08
9.9165e-01 3.8275e+01 1.4557e+01 -1.8005e+00 7.2843e+00 2.1387e+13 4.1293e-02 1.7348e+01 5.5878e+11 0.0000e+00 7.0216e-05 4.8461e+01 1.7478e+08
9.7189e-01 3.8275e+01 1.4585e+01 -1.7806e+00 7.2913e+00 1.9381e+13 4.1197e-02 1.7348e+01 5.0635e+11 0.0000e+00 7.3073e-05 4.9428e+01 1.7638e+08
9.5354e-01 3.8274e+01 1.4608e+01 -1.7625e+00 7.2970e+00 1.7043e+13 4.1276e-02 1.7349e+01 4.4528e+11 0.0000e+00 7.6004e-05 5.0439e+01 1.7738e+08
9.4117e-01 3.8274e+01 1.4630e+01 -1.7485e+00 7.3026e+00 1.5386e+13 4.1033e-02 1.7349e+01 4.0201e+11 0.0000e+00 7.8091e-05 5.1152e+01 1.7904e+08
9.2427e-01 3.8273e+01 1.4655e+01 -1.7303e+00 7.3087e+00 1.2560e+13 4.1005e-02 1.7350e+01 3.2816e+11 0.0000e+00 8.1062e-05 5.2145e+01 1.8036e+08
9.0925e-01 3.8273e+01 1.4676e+01 -1.7141e+00 7.3140e+00 9.8377e+12 4.1032e-02 1.7349e+01 2.5704e+11 0.0000e+00 8.3709e-05 5.2973e+01 1.8140e+08
8.9732e-01 3.8272e+01 1.4703e+01 -1.6991e+00 7.3207e+00 7.6189e+12 4.0568e-02 1.7347e+01 1.9907e+11 0.0000e+00 8.5582e-05 5.3447e+01 1.8384e+08
8.7539e-01 3.8272e+01 1.4730e+01 -1.6741e+00 7.3276e+00 2.3985e+12 4.0969e-02 1.7350e+01 6.2670e+10 0.0000e+00 9.0429e-05 5.5094e+01 1.8439e+08
8.6365e-01 3.8271e+01 1.4745e+01 -1.6594e+00 7.3312e+00 2.4750e+06 4.1313e-02 1.7350e+01 6.4671e+04 0.0000e+00 9.3049e-05 5.5930e+01 1.8439e+08
8.5786e-01 3.8271e+01 1.4760e+01 -1.6466e+00 7.3351e+00 2.4706e+06 4.1431e-02 1.7351e+01 6.4554e+04 0.0000e+00 9.4366e-05 5.6342e+01 1.8494e+08
8.4540e-01 3.8271e+01 1.4786e+01 -1.6255e+00 7.3415e+00 2.4762e+06 4.1594e-02 1.7351e+01 6.4703e+04 0.0000e+00 9.7282e-05 5.7239e+01 1.8594e+08
8.2805e-01 3.8270e+01 1.4810e+01 -1.6045e+00 7.3475e+00 4.6653e+12 4.1857e-02 1.7352e+01 1.2191e+11 0.0000e+00 1.0146e-04 5.8475e+01 1.8665e+08
8.1823e-01 3.8270e+01 1.4832e+01 -1.5906e+00 7.3529e+00 7.5567e+12 4.1647e-02 1.7352e+01 1.9746e+11 0.0000e+00 1.0397e-04 5.9209e+01 1.8828e+08
8.0418e-01 3.8269e+01 1.4854e+01 -1.5731e+00 7.3584e+00 1.1362e+13 4.1742e-02 1.7352e+01 2.9691e+11 0.0000e+00 1.0766e-04 6.0256e+01 1.8925e+08
7.9449e-01 3.8269e+01 1.4875e+01 -1.5594e+00 7.3636e+00 1.4005e+13 4.1559e-02 1.7352e+01 3.6598e+11 0.0000e+00 1.1034e-04 6.1014e+01 1.9080e+08
7.8190e-01 3.8268e+01 1.4896e+01 -1.5433e+00 7.3688e+00 1.7057e+13 4.1587e-02 1.7352e+01 4.4572e+11 0.0000e+00 1.1392e-04 6.1994e+01 1.9189e+08
7.7233e-01 3.8268e+01 1.4922e+01 -1.5290e+00 7.3755e+00 1.9270e+13 4.1060e-02 1.7352e+01 5.0356e+11 0.0000e+00 1.1667e-04 6.2711e+01 1.9459e+08
7.5395e-01 3.8267e+01 1.4959e+01 -1.5037e+00 7.3848e+00 2.2051e+13 4.0843e-02 1.7351e+01 5.7624e+11 0.0000e+00 1.2225e-04 6.4151e+01 1.9718e+08
7.3449e-01 3.8267e+01 1.4995e+01 -1.4760e+00 7.3938e+00 2.3706e+13 4.0893e-02 1.7351e+01 6.1950e+11 0.0000e+00 1.2874e-04 6.5810e+01 1.9911e+08
7.1794e-01 3.8266e+01 1.5029e+01 -1.4520e+00 7.4024e+00 2.4375e+13 4.0740e-02 1.7351e+01 6.3698e+11 0.0000e+00 1.3471e-04 6.7313e+01 2.0145e+08
7.0117e-01 3.8265e+01 1.5061e+01 -1.4271e+00 7.4103e+00 2.3851e+13 4.0833e-02 1.7351e+01 6.2331e+11 0.0000e+00 1.4124e-04 6.8925e+01 2.0306e+08
6.8791e-01 3.8265e+01 1.5088e+01 -1.4070e+00 7.4171e+00 2.2872e+13 4.0794e-02 1.7351e+01 5.9774e+11 0.0000e+00 1.4683e-04 7.0299e+01 2.0475e+08
6.7590e-01 3.8264e+01 1.5116e+01 -1.3880e+00 7.4242e+00 2.1305e+13 4.0603e-02 1.7351e+01 5.5680e+11 0.0000e+00 1.5219e-04 7.1591e+01 2.0689e+08
6.6233e-01 3.8264e+01 1.5145e+01 -1.3665e+00 7.4313e+00 1.8388e+13 4.0617e-02 1.7351e+01 4.8057e+11 0.0000e+00 1.5856e-04 7.3090e+01 2.0855e+08
6.5052e-01 3.8263e+01 1.5173e+01 -1.3468e+00 7.4383e+00 1.5104e+13 4.0489e-02 1.7351e+01 3.9473e+11 0.0000e+00 1.6437e-04 7.4419e+01 2.1056e+08
6.3784e-01 3.8263e+01 1.5199e+01 -1.3258e+00 7.4449e+00 1.0443e+13 4.0589e-02 1.7351e+01 2.7293e+11 0.0000e+00 1.7090e-04 7.5866e+01 2.1191e+08
6.2783e-01 3.8262e+01 1.5226e+01 -1.3078e+00 7.4516e+00 6.2703e+12 4.0406e-02 1.7349e+01 1.6388e+11 0.0000e+00 1.7557e-04 7.6716e+01 2.1402e+08
6.1539e-01 3.8262e+01 1.5255e+01 -1.2854e+00 7.4587e+00 3.0087e+08 4.0487e-02 1.7352e+01 7.8634e+06 0.0000e+00 1.8406e-04 7.8835e+01 2.1556e+08
6.0434e-01 3.8261e+01 1.5279e+01 -1.2609e+00 7.4647e+00 2.5159e+06 4.1066e-02 1.7353e+01 6.5756e+04 0.0000e+00 1.9133e-04 8.0473e+01 2.1552e+08
5.9595e-01 3.8261e+01 1.5305e+01 -1.2400e+00 7.4712e+00 2.5211e+06 4.1214e-02 1.7354e+01 6.5893e+04 0.0000e+00 1.9701e-04 8.1713e+01 2.1673e+08
5.8414e-01 3.8261e+01 1.5332e+01 -1.2125e+00 7.4779e+00 2.5189e+06 4.1890e-02 1.7354e+01 6.5835e+04 0.0000e+00 2.0508e-04 8.3377e+01 2.1665e+08
5.7553e-01 3.8260e+01 1.5360e+01 -1.1906e+00 7.4848e+00 2.5258e+06 4.1998e-02 1.7354e+01 6.6017e+04 0.0000e+00 2.1133e-04 8.4648e+01 2.1811e+08
5.6365e-01 3.8260e+01 1.5384e+01 -1.1584e+00 7.4908e+00 2.4958e+06 4.3348e-02 1.7354e+01 6.5234e+04 0.0000e+00 2.2031e-04 8.6425e+01 2.1620e+08
5.5823e-01 3.8259e+01 1.5401e+01 -1.1462e+00 7.4950e+00 2.5411e+06 4.3310e-02 1.7357e+01 6.6416e+04 0.0000e+00 2.2612e-04 8.7852e+01 2.1736e+08
5.5205e-01 3.8259e+01 1.5424e+01 -1.1314e+00 7.5008e+00 1.4890e+09 4.3070e-02 1.7355e+01 3.8920e+07 0.0000e+00 2.3031e-04 8.8490e+01 2.1944e+08
5.4239e-01 3.8259e+01 1.5447e+01 -1.1113e+00 7.5065e+00 2.5431e+06 4.3373e-02 1.7355e+01 6.6471e+04 0.0000e+00 2.3828e-04 8.9948e+01 2.2015e+08
5.3676e-01 3.8258e+01 1.5474e+01 -1.0938e+00 7.5133e+00 2.5353e+06 4.3106e-02 1.7355e+01 6.6268e+04 0.0000e+00 2.4328e-04 9.0883e+01 2.2261e+08
5.2419e-01 3.8258e+01 1.5507e+01 -1.0591e+00 7.5214e+00 2.5262e+06 4.4122e-02 1.7355e+01 6.6031e+04 0.0000e+00 2.5509e-04 9.3063e+01 2.2218e+08
5.1569e-01 3.8257e+01 1.5528e+01 -1.0342e+00 7.5265e+00 2.5102e+06 4.5078e-02 1.7355e+01 6.5613e+04 0.0000e+00 2.6367e-04 9.4632e+01 2.2117e+08
5.1136e-01 3.8257e+01 1.5544e+01 -1.0193e+00 7.5306e+00 2.5245e+06 4.5366e-02 1.7355e+01 6.5987e+04 0.0000e+00 2.6847e-04 9.5547e+01 2.2155e+08
5.0581e-01 3.8257e+01 1.5566e+01 -9.9874e-01 7.5359e+00 2.5172e+06 4.5861e-02 1.7356e+01 6.5797e+04 0.0000e+00 2.7501e-04 9.6814e+01 2.2176e+08
4.9872e-01 3.8256e+01 1.5591e+01 -9.7335e-01 7.5420e+00 2.5157e+06 4.6591e-02 1.7356e+01 6.5759e+04 0.0000e+00 2.8266e-04 9.8109e+01 2.2168e+08
4.9142e-01 3.8256e+01 1.5609e+01 -9.5152e-01 7.5466e+00 2.5140e+06 4.7448e-02 1.7355e+01 6.5714e+04 0.0000e+00 2.9071e-04 9.9429e+01 2.2090e+08
4.8827e-01 3.8256e+01 1.5622e+01 -9.3942e-01 7.5496e+00 2.5172e+06 4.7791e-02 1.7355e+01 6.5800e+04 0.0000e+00 2.9445e-04 1.0006e+02 2.2091e+08
4.8478e-01 3.8256e+01 1.5639e+01 -9.2693e-01 7.5541e+00 2.5457e+06 4.7730e-02 1.7355e+01 6.6544e+04 0.0000e+00 2.9872e-04 1.0079e+02 2.2225e+08
4.7863e-01 3.8255e+01 1.5666e+01 -9.0972e-01 7.5608e+00 1.5569e+13 4.7476e-02 1.7356e+01 4.0697e+11 0.0000e+00 3.0699e-04 1.0226e+02 2.2467e+08
4.7044e-01 3.8255e+01 1.5698e+01 -8.8806e-01 7.5688e+00 3.5951e+13 4.7280e-02 1.7357e+01 9.3977e+11 0.0000e+00 3.1807e-04 1.0414e+02 2.2735e+08
4.6161e-01 3.8254e+01 1.5725e+01 -8.6615e-01 7.5756e+00 5.7602e+13 4.7460e-02 1.7357e+01 1.5058e+12 0.0000e+00 3.3068e-04 1.0624e+02 2.2884e+08
4.5609e-01 3.8254e+01 1.5754e+01 -8.5044e-01 7.5829e+00 7.1027e+13 4.6874e-02 1.7357e+01 1.8567e+12 0.0000e+00 3.3833e-04 1.0740e+02 2.3232e+08
4.4653e-01 3.8253e+01 1.5788e+01 -8.2565e-01 7.5913e+00 9.3043e+13 4.6909e-02 1.7356e+01 2.4323e+12 0.0000e+00 3.5268e-04 1.0961e+02 2.3462e+08
4.3907e-01 3.8253e+01 1.5818e+01 -8.0579e-01 7.5989e+00 1.0923e+14 4.6635e-02 1.7356e+01 2.8556e+12 0.0000e+00 3.6464e-04 1.1143e+02 2.3752e+08
4.3109e-01 3.8252e+01 1.5850e+01 -7.8459e-01 7.6068e+00 1.2490e+14 4.6422e-02 1.7356e+01 3.2651e+12 0.0000e+00 3.7846e-04 1.1355e+02 2.4037e+08
4.2330e-01 3.8252e+01 1.5875e+01 -7.6498e-01 7.6131e+00 1.3818e+14 4.6537e-02 1.7357e+01 3.6124e+12 0.0000e+00 3.9278e-04 1.1572e+02 2.4191e+08
4.1878e-01 3.8252e+01 1.5899e+01 -7.5156e-01 7.6191e+00 1.4492e+14 4.6117e-02 1.7357e+01 3.7886e+12 0.0000e+00 4.0130e-04 1.1697e+02 2.4476e+08
4.1173e-01 3.8251e+01 1.5931e+01 -7.3199e-01 7.6274e+00 1.5336e+14 4.5623e-02 1.7357e+01 4.0093e+12 0.0000e+00 4.1520e-04 1.1898e+02 2.4855e+08
4.0278e-01 3.8251e+01 1.5966e+01 -7.0710e-01 7.6359e+00 1.6001e+14 4.5590e-02 1.7357e+01 4.1832e+12 0.0000e+00 4.3386e-04 1.2162e+02 2.5120e+08
3.9550e-01 3.8250e+01 1.5995e+01 -6.8655e-01 7.6433e+00 1.6199e+14 4.5445e-02 1.7356e+01 4.2349e+12 0.0000e+00 4.4976e-04 1.2380e+02 2.5383e+08
3.8889e-01 3.8250e+01 1.6023e+01 -6.6749e-01 7.6502e+00 1.6051e+14 4.5293e-02 1.7356e+01 4.1964e+12 0.0000e+00 4.6487e-04 1.2582e+02 2.5635e+08
3.8271e-01 3.8249e+01 1.6051e+01 -6.4902e-01 7.6574e+00 1.5587e+14 4.5016e-02 1.7356e+01 4.0751e+12 0.0000e+00 4.7984e-04 1.2781e+02 2.5930e+08
3.7585e-01 3.8249e+01 1.6081e+01 -6.2832e-01 7.6648e+00 1.4621e+14 4.4859e-02 1.7356e+01 3.8225e+12 0.0000e+00 4.9786e-04 1.3023e+02 2.6203e+08
3.6926e-01 3.8248e+01 1.6106e+01 -6.0885e-01 7.6711e+00 1.3184e+14 4.4931e-02 1.7357e+01 3.4470e+12 0.0000e+00 5.1660e-04 1.3276e+02 2.6374e+08
3.6474e-01 3.8248e+01 1.6128e+01 -5.9424e-01 7.6766e+00 1.1890e+14 4.4765e-02 1.7357e+01 3.1086e+12 0.0000e+00 5.2996e-04 1.3453e+02 2.6590e+08
3.5973e-01 3.8248e+01 1.6152e+01 -5.7782e-01 7.6825e+00 1.0060e+14 4.4619e-02 1.7358e+01 2.6301e+12 0.0000e+00 5.4518e-04 1.3649e+02 2.6818e+08
3.5440e-01 3.8247e+01 1.6176e+01 -5.6036e-01 7.6885e+00 7.5979e+13 4.4569e-02 1.7357e+01 1.9865e+12 0.0000e+00 5.6133e-04 1.3845e+02 2.7018e+08
3.4948e-01 3.8247e+01 1.6199e+01 -5.4346e-01 7.6944e+00 4.7659e+13 4.4489e-02 1.7357e+01 1.2461e+12 0.0000e+00 5.7648e-04 1.4022e+02 2.7227e+08
3.4444e-01 3.8247e+01 1.6230e+01 -5.2461e-01 7.7021e+00 1.0779e+13 4.4084e-02 1.7356e+01 2.8183e+11 0.0000e+00 5.9213e-04 1.4195e+02 2.7592e+08
3.3667e-01 3.8246e+01 1.6262e+01 -4.9296e-01 7.7100e+00 -8.1233e+13 4.4863e-02 1.7357e+01 -2.1240e+12 0.0000e+00 6.2106e-04 1.4552e+02 2.7602e+08
3.3150e-01 3.8246e+01 1.6284e+01 -4.6957e-01 7.7156e+00 -2.0680e+14 4.5519e-02 1.7357e+01 -5.4072e+12 0.0000e+00 6.4078e-04 1.4784e+02 2.7579e+08
3.2776e-01 3.8245e+01 1.6314e+01 -4.4535e-01 7.7229e+00 -2.8258e+14 4.5747e-02 1.7359e+01 -7.3887e+12 0.0000e+00 6.5870e-04 1.5026e+02 2.7743e+08
3.2013e-01 3.8245e+01 1.6351e+01 -4.0522e-01 7.7322e+00 -2.9827e+14 4.6983e-02 1.7359e+01 -7.7989e+12 0.0000e+00 6.9051e-04 1.5385e+02 2.7672e+08
3.1377e-01 3.8244e+01 1.6382e+01 -3.7331e-01 7.7396e+00 -2.3968e+14 4.7985e-02 1.7358e+01 -6.2670e+12 0.0000e+00 7.1777e-04 1.5674e+02 2.7618e+08
3.0947e-01 3.8244e+01 1.6407e+01 -3.5047e-01 7.7458e+00 -1.7296e+14 4.8426e-02 1.7358e+01 -4.5226e+12 0.0000e+00 7.3805e-04 1.5897e+02 2.7690e+08
3.0514e-01 3.8243e+01 1.6427e+01 -3.3101e-01 7.7510e+00 -9.1048e+13 4.8854e-02 1.7359e+01 -2.3807e+12 0.0000e+00 7.5983e-04 1.6137e+02 2.7732e+08
3.0250e-01 3.8243e+01 1.6442e+01 -3.1891e-01 7.7546e+00 -4.0066e+13 4.8981e-02 1.7361e+01 -1.0477e+12 0.0000e+00 7.7677e-04 1.6354e+02 2.7812e+08
3.0030e-01 3.8243e+01 1.6462e+01 -3.0649e-01 7.7595e+00 2.6867e+12 4.8726e-02 1.7360e+01 7.0254e+10 0.0000e+00 7.8681e-04 1.6445e+02 2.8043e+08
2.9601e-01 3.8243e+01 1.6497e+01 -2.8654e-01 7.7686e+00 7.0150e+13 4.7973e-02 1.7359e+01 1.8343e+12 0.0000e+00 8.0866e-04 1.6660e+02 2.8555e+08
2.8849e-01 3.8242e+01 1.6533e+01 -2.5485e-01 7.7773e+00 2.0152e+14 4.8534e-02 1.7359e+01 5.2697e+12 0.0000e+00 8.5097e-04 1.7086e+02 2.8678e+08
2.8469e-01 3.8241e+01 1.6558e+01 -2.3797e-01 7.7838e+00 2.7813e+14 4.8280e-02 1.7359e+01 7.2731e+12 0.0000e+00 8.7242e-04 1.7286e+02 2.8966e+08
2.8041e-01 3.8241e+01 1.6586e+01 -2.1936e-01 7.7908e+00 3.7407e+14 4.8016e-02 1.7358e+01 9.7818e+12 0.0000e+00 8.9834e-04 1.7532e+02 2.9280e+08
2.7592e-01 3.8241e+01 1.6619e+01 -1.9977e-01 7.7991e+00 4.8703e+14 4.7455e-02 1.7358e+01 1.2736e+13 0.0000e+00 9.2756e-04 1.7812e+02 2.9734e+08
2.7013e-01 3.8240e+01 1.6652e+01 -1.7554e-01 7.8072e+00 6.5282e+14 4.7436e-02 1.7358e+01 1.7072e+13 0.0000e+00 9.6883e-04 1.8214e+02 3.0019e+08
2.6600e-01 3.8240e+01 1.6680e+01 -1.5792e-01 7.8144e+00 7.8288e+14 4.7046e-02 1.7359e+01 2.0473e+13 0.0000e+00 9.9934e-04 1.8501e+02 3.0389e+08
2.6155e-01 3.8239e+01 1.6710e+01 -1.3919e-01 7.8218e+00 9.3244e+14 4.6663e-02 1.7358e+01 2.4384e+13 0.0000e+00 1.0333e-03 1.8810e+02 3.0776e+08
2.5707e-01 3.8239e+01 1.6740e+01 -1.2041e-01 7.8294e+00 1.0889e+15 4.6266e-02 1.7358e+01 2.8477e+13 0.0000e+00 1.0696e-03 1.9137e+02 3.1176e+08
2.5263e-01 3.8238e+01 1.6772e+01 -1.0179e-01 7.8375e+00 1.2438e+15 4.5674e-02 1.7359e+01 3.2527e+13 0.0000e+00 1.1088e-03 1.9496e+02 3.1672e+08
2.4750e-01 3.8238e+01 1.6803e+01 -8.0500e-02 7.8453e+00 1.4132e+15 4.5463e-02 1.7359e+01 3.6958e+13 0.0000e+00 1.1559e-03 1.9912e+02 3.2030e+08
2.4359e-01 3.8237e+01 1.6825e+01 -6.5078e-02 7.8509e+00 1.5249e+15 4.5337e-02 1.7359e+01 3.9879e+13 0.0000e+00 1.1925e-03 2.0218e+02 3.2279e+08
2.4114e-01 3.8237e+01 1.6854e+01 -5.4133e-02 7.8582e+00 1.5834e+15 4.4242e-02 1.7359e+01 4.1410e+13 0.0000e+00 1.2168e-03 2.0421e+02 3.2951e+08
2.3514e-01 3.8236e+01 1.6889e+01 -2.8152e-02 7.8669e+00 1.6845e+15 4.4246e-02 1.7359e+01 4.4055e+13 0.0000e+00 1.2795e-03 2.0940e+02 3.3277e+08
2.3135e-01 3.8236e+01 1.6920e+01 -1.1731e-02 7.8747e+00 1.6978e+15 4.3551e-02 1.7358e+01 4.4403e+13 0.0000e+00 1.3202e-03 2.1257e+02 3.3844e+08
2.2632e-01 3.8235e+01 1.6947e+01 9.6616e-03 7.8814e+00 1.6413e+15 4.3681e-02 1.7359e+01 4.2927e+13 0.0000e+00 1.3803e-03 2.1742e+02 3.4054e+08
2.2398e-01 3.8235e+01 1.6969e+01 2.1207e-02 7.8871e+00 1.5778e+15 4.3147e-02 1.7359e+01 4.1267e+13 0.0000e+00 1.4102e-03 2.1984e+02 3.4487e+08
2.2007e-01 3.8235e+01 1.7003e+01 3.9178e-02 7.8957e+00 1.4117e+15 4.2400e-02 1.7359e+01 3.6922e+13 0.0000e+00 1.4611e-03 2.2379e+02 3.5134e+08
2.1456e-01 3.8234e+01 1.7038e+01 6.6555e-02 7.9044e+00 1.0273e+15 4.2511e-02 1.7359e+01 2.6870e+13 0.0000e+00 1.5364e-03 2.2943e+02 3.5441e+08
2.1073e-01 3.8234e+01 1.7065e+01 8.6145e-02 7.9111e+00 6.4509e+14 4.2477e-02 1.7358e+01 1.6872e+13 0.0000e+00 1.5905e-03 2.3327e+02 3.5726e+08
2.0759e-01 3.8233e+01 1.7090e+01 1.0362e-01 7.9173e+00 2.6665e+14 4.2352e-02 1.7358e+01 6.9742e+12 0.0000e+00 1.6381e-03 2.3667e+02 3.6036e+08
2.0425e-01 3.8233e+01 1.7108e+01 1.1985e-01 7.9220e+00 1.4823e+14 4.2575e-02 1.7359e+01 3.8771e+12 0.0000e+00 1.6954e-03 2.4100e+02 3.6132e+08
2.0290e-01 3.8233e+01 1.7118e+01 1.2479e-01 7.9243e+00 2.2942e+12 4.2373e-02 1.7360e+01 6.0007e+10 0.0000e+00 1.7215e-03 2.4310e+02 3.6316e+08
2.0189e-01 3.8233e+01 1.7125e+01 1.3099e-01 7.9260e+00 4.3895e+12 4.2477e-02 1.7359e+01 1.1481e+11 0.0000e+00 1.7356e-03 2.4387e+02 3.6342e+08
2.0119e-01 3.8233e+01 1.7130e+01 1.3610e-01 7.9274e+00 5.6975e+12 4.2563e-02 1.7360e+01 1.4902e+11 0.0000e+00 1.7535e-03 2.4553e+02 3.6363e+08
